Date,Ordered Product Sales,Ordered Product Sales - B2B,Units Ordered,Units Ordered - B2B,Total Order Items,Total Order Items - B2B,Page Views - Total,Page Views - Total - B2B,Sessions - Total,Sessions - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Average Offer Count,Average Parent Items
9/21/24,$0.00,$0.00,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0,0
9/22/24,$0.00,$0.00,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0,0
9/23/24,$0.00,$0.00,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0,0
9/24/24,$0.00,$0.00,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0,0
9/25/24,$0.00,$0.00,0,0,0,0,47,0,21,0,100.00%,0.00%,0.00%,0.00%,11,7
9/26/24,$0.00,$0.00,0,0,0,0,7,0,5,0,100.00%,0.00%,0.00%,0.00%,11,7
9/27/24,$0.00,$0.00,0,0,0,0,11,0,10,0,100.00%,0.00%,0.00%,0.00%,11,7
9/28/24,$0.00,$0.00,0,0,0,0,13,0,12,0,100.00%,0.00%,0.00%,0.00%,11,7
9/29/24,$0.00,$0.00,0,0,0,0,13,0,10,0,100.00%,0.00%,0.00%,0.00%,11,7
9/30/24,$35.00,$0.00,1,0,1,0,53,0,44,0,100.00%,0.00%,2.27%,0.00%,11,7
10/1/24,$50.00,$0.00,1,0,1,0,63,0,50,0,93.55%,0.00%,2.00%,0.00%,12,7
10/2/24,$45.00,$0.00,1,0,1,0,28,0,21,0,100.00%,0.00%,4.76%,0.00%,12,7
10/3/24,$31.50,$0.00,1,0,1,0,7,0,6,0,100.00%,0.00%,16.67%,0.00%,11,7
10/4/24,$0.00,$0.00,0,0,0,0,4,0,4,0,75.00%,0.00%,0.00%,0.00%,11,7
10/5/24,$0.00,$0.00,0,0,0,0,1,0,1,0,100.00%,0.00%,0.00%,0.00%,11,7
10/6/24,$0.00,$0.00,0,0,0,0,8,0,6,0,75.00%,0.00%,0.00%,0.00%,11,7
10/7/24,$0.00,$0.00,0,0,0,0,21,0,17,0,100.00%,0.00%,0.00%,0.00%,11,7
10/8/24,$0.00,$0.00,0,0,0,0,16,0,8,0,93.75%,0.00%,0.00%,0.00%,11,7
10/9/24,$0.00,$0.00,0,0,0,0,5,1,5,1,100.00%,100.00%,0.00%,0.00%,11,7
10/10/24,$0.00,$0.00,0,0,0,0,25,0,21,0,100.00%,0.00%,0.00%,0.00%,10,6
10/11/24,$0.00,$0.00,0,0,0,0,21,1,13,1,100.00%,100.00%,0.00%,0.00%,10,6
10/12/24,$0.00,$0.00,0,0,0,0,7,0,6,0,100.00%,0.00%,0.00%,0.00%,10,6
10/13/24,$0.00,$0.00,0,0,0,0,30,0,27,0,100.00%,0.00%,0.00%,0.00%,10,6
10/14/24,$0.00,$0.00,0,0,0,0,38,1,30,1,100.00%,100.00%,0.00%,0.00%,10,6
10/15/24,$0.00,$0.00,0,0,0,0,35,0,29,0,100.00%,0.00%,0.00%,0.00%,10,6
10/16/24,$0.00,$0.00,0,0,0,0,18,2,15,2,100.00%,100.00%,0.00%,0.00%,10,6
10/17/24,$0.00,$0.00,0,0,0,0,18,1,15,1,100.00%,100.00%,0.00%,0.00%,10,6
10/18/24,$0.00,$0.00,0,0,0,0,18,0,16,0,100.00%,0.00%,0.00%,0.00%,10,6
10/19/24,$0.00,$0.00,0,0,0,0,13,0,11,0,100.00%,0.00%,0.00%,0.00%,10,6
10/20/24,$0.00,$0.00,32,0,32,0,132,2,99,2,100.00%,0.00%,32.32%,0.00%,10,6
10/21/24,$0.00,$0.00,6,0,6,0,40,0,33,0,100.00%,0.00%,18.18%,0.00%,10,6
10/22/24,$0.00,$0.00,0,0,0,0,23,0,16,0,100.00%,0.00%,0.00%,0.00%,10,6
10/23/24,$0.00,$0.00,0,0,0,0,24,1,18,1,100.00%,100.00%,0.00%,0.00%,10,6
10/24/24,$0.00,$0.00,0,0,0,0,37,0,29,0,97.30%,0.00%,0.00%,0.00%,10,6
10/25/24,$0.00,$0.00,0,0,0,0,24,0,21,0,100.00%,0.00%,0.00%,0.00%,10,6
10/26/24,$0.00,$0.00,0,0,0,0,21,0,17,0,100.00%,0.00%,0.00%,0.00%,10,6
10/27/24,$0.00,$0.00,0,0,0,0,16,0,11,0,100.00%,0.00%,0.00%,0.00%,10,6
10/28/24,$0.00,$0.00,0,0,0,0,32,0,25,0,100.00%,0.00%,0.00%,0.00%,11,6
10/29/24,$0.00,$0.00,0,0,0,0,26,0,20,0,100.00%,0.00%,0.00%,0.00%,11,6
10/30/24,$0.00,$0.00,0,0,0,0,19,0,13,0,100.00%,0.00%,0.00%,0.00%,11,6
10/31/24,$0.00,$0.00,0,0,0,0,5,0,3,0,100.00%,0.00%,0.00%,0.00%,11,6
11/1/24,$0.00,$0.00,0,0,0,0,19,1,10,1,100.00%,0.00%,0.00%,0.00%,11,6
11/2/24,$40.00,$0.00,2,0,2,0,8,0,6,0,100.00%,0.00%,33.33%,0.00%,11,6
11/3/24,$0.00,$0.00,0,0,0,0,20,0,11,0,100.00%,0.00%,0.00%,0.00%,11,6
11/4/24,$0.00,$0.00,0,0,0,0,24,0,19,0,100.00%,0.00%,0.00%,0.00%,11,6
11/5/24,$0.00,$0.00,0,0,0,0,25,0,20,0,100.00%,0.00%,0.00%,0.00%,11,6
11/6/24,$0.00,$0.00,0,0,0,0,24,0,22,0,100.00%,0.00%,0.00%,0.00%,11,6
11/7/24,$0.00,$0.00,0,0,0,0,27,0,21,0,100.00%,0.00%,0.00%,0.00%,11,6
11/8/24,$0.00,$0.00,0,0,0,0,39,0,19,0,100.00%,0.00%,0.00%,0.00%,11,6
11/9/24,$56.00,$0.00,2,0,2,0,24,0,16,0,100.00%,0.00%,12.50%,0.00%,11,6
11/10/24,$45.00,$0.00,3,0,2,0,17,1,16,1,100.00%,0.00%,18.75%,0.00%,11,6
11/11/24,$28.00,$0.00,1,0,1,0,26,1,22,1,100.00%,0.00%,4.55%,0.00%,11,6
11/12/24,$56.00,$0.00,2,0,1,0,23,1,18,1,100.00%,100.00%,11.11%,0.00%,11,6
11/13/24,$0.00,$0.00,0,0,0,0,35,0,26,0,100.00%,0.00%,0.00%,0.00%,10,6
